PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Nikola Vucevic,ORL,62,28,34,1998,721261,136.6,72.3,64.3,3.86,4.1,3.62,2019
Nikola Jokic,DEN,73,46,27,2335,848848,160.8,88.6,72.2,3.88,4.17,3.58,2019
Nigel Williams-Goss,UTA,10,6,4,50,17906,3.4,1.9,1.5,4.13,4.32,3.93,2019
Nicolo Melli,NOP,59,26,33,1016,410283,77.7,41.5,36.2,4.29,4.62,3.97,2019
Nicolas Claxton,BKN,15,5,10,187,69543,13.2,7.1,6.1,4.33,4.64,4.02,2019
Nicolas Batum,CHA,21,6,15,471,188105,35.6,18.9,16.7,4.23,4.44,4.02,2019
Nickeil Alexander-Walker,NOP,47,19,28,591,260536,49.3,28,21.4,4.67,5.45,3.95,2019
Nerlens Noel,OKC,61,38,23,1127,450733,85.4,47.1,38.3,4.2,4.64,3.77,2019
Nemanja Bjelica,SAC,71,31,40,1981,756729,143.3,77.4,65.9,4.07,4.39,3.74,2019
Naz Reid,MIN,30,8,22,495,195125,37,19.8,17.2,4.19,4.53,3.86,2019
Naz Mitrou-Long,IND,5,3,2,47,16820,3.2,1.8,1.3,4.01,4.42,3.34,2019
Nassir Little,POR,48,22,26,572,237614,45,24.1,20.9,4.47,4.67,4.27,2019
Myles Turner,IND,62,37,25,1826,694829,131.6,71.2,60.4,4.07,4.38,3.75,2019
Mychal Mulder,GSW,7,3,4,204,80481,15.2,8.4,6.9,4.15,4.58,3.77,2019
Moses Brown,POR,9,4,5,33,13183,2.5,1.3,1.2,4.34,4.52,4.17,2019
Moritz Wagner,WAS,45,15,30,835,346035,65.5,35.7,29.8,4.37,4.89,3.87,2019
Montrezl Harrell,LAC,63,44,19,1749,629379,119.2,62.9,56.3,3.78,4.08,3.5,2019
Monte Morris,DEN,73,46,27,1637,644570,122.1,68.9,53.2,4.25,4.68,3.8,2019
Mo Bamba,ORL,62,30,32,878,335958,63.6,34.2,29.5,4.11,4.31,3.92,2019
Miye Oni,UTA,10,5,5,109,44544,8.4,4.5,3.9,4.39,4.5,4.26,2019
Mitchell Robinson,NYK,61,20,41,1412,548741,103.9,54.5,49.5,4.12,4.32,3.93,2019
Miles Bridges,CHA,64,23,41,1976,786295,148.9,78.2,70.7,4.26,4.44,4.07,2019
Mike Scott,PHI,68,39,29,1207,480270,91,49.7,41.3,4.27,4.52,4,2019
Mike Muscala,OKC,47,26,21,572,231654,43.9,24.6,19.3,4.29,4.77,3.81,2019
Mike Conley,UTA,47,26,21,1363,544747,103.2,57.5,45.7,4.25,4.68,3.81,2019
Mikal Bridges,PHX,72,34,38,2010,847849,160.6,85.1,75.5,4.46,4.78,4.15,2019
Michael Porter Jr.,DEN,55,36,19,903,360396,68.3,36.7,31.5,4.28,4.46,4.08,2019
Michael Kidd-Gilchrist,DAL,24,11,13,279,110627,21,10.8,10.2,4.27,4.43,4.11,2019
Michael Frazier II,HOU,13,7,6,145,60023,11.4,5.4,5.9,4.43,4.4,4.38,2019
Michael Carter-Williams,ORL,45,21,24,833,333325,63.1,34,29.1,4.27,4.55,3.99,2019
Mfiondu Kabengele,LAC,12,9,3,64,22549,4.3,2.2,2.1,4.17,4.28,4.07,2019
Meyers Leonard,MIA,51,34,17,1034,372356,70.5,38.2,32.3,3.86,4.03,3.68,2019
Melvin Frazier Jr.,ORL,19,6,13,126,49064,9.3,4.9,4.4,4.26,4.59,3.95,2019
Maxi Kleber,DAL,72,40,32,1832,695783,131.8,73.1,58.7,4.03,4.32,3.71,2019
Max Strus,CHI,2,0,2,6,3131,0.6,0.3,0.3,4.85,5.76,4.19,2019
Maurice Harkless,NYK,62,39,23,1427,570117,108,55.6,52.4,4.24,4.4,4.09,2019
Matthew Dellavedova,CLE,57,17,40,821,327739,62.1,34.5,27.6,4.31,4.78,3.84,2019
Matt Thomas,TOR,40,30,10,436,190615,36.1,20,16.1,4.71,5.14,4.27,2019
Matt Mooney,CLE,4,0,4,19,8411,1.6,0.8,0.8,4.7,4.92,4.5,2019
Matisse Thybulle,PHI,65,40,25,1287,526280,99.7,51.5,48.2,4.36,4.39,4.32,2019
Mason Plumlee,DEN,61,38,23,1057,417273,79,42.7,36.4,4.16,4.45,3.88,2019
Marvin Williams,MIL,57,21,36,1100,415292,78.7,41.6,37,4.08,4.27,3.88,2019
Marvin Bagley III,SAC,13,2,11,334,137041,26,13.3,12.7,4.36,4.52,4.2,2019
Marquese Chriss,GSW,59,15,44,1196,475406,90,48.1,41.9,4.2,4.58,3.84,2019
Marques Bolden,CLE,1,0,1,3,1105,0.2,0.1,0.1,3.91,4.75,3.32,2019
Marko Guduric,MEM,44,19,25,484,196020,37.1,20.2,16.9,4.37,4.73,4,2019
Markieff Morris,LAL,57,22,35,1171,430559,81.5,43.7,37.8,3.89,4.13,3.64,2019
Markelle Fultz,ORL,72,33,39,1996,829649,157.1,87.6,69.6,4.44,4.97,3.92,2019
Mario Hezonja,POR,52,23,29,866,334178,63.3,34.5,28.8,4.18,4.52,3.83,2019
Marial Shayok,PHI,4,2,2,28,11766,2.2,1.2,1,4.35,4.52,4.15,2019
Marcus Smart,BOS,60,39,21,1919,716438,135.7,72.8,62.9,3.95,4.29,3.62,2019
Marcus Morris Sr.,LAC,62,26,36,1936,722885,136.9,73,63.9,3.97,4.26,3.69,2019
Marco Belinelli,SAS,56,26,30,875,363090,68.8,38.7,30.1,4.47,5.11,3.84,2019
Marc Gasol,TOR,43,34,9,1145,386085,73.1,37.5,35.6,3.58,3.73,3.44,2019
Malik Newman,CLE,1,0,1,4,1246,0.2,0.2,0.1,3.13,6.16,3.17,2019
Malik Monk,CHA,54,18,36,1136,442028,83.7,46.3,37.4,4.23,4.62,3.84,2019
Malik Beasley,MIN,55,30,25,1209,476699,90.3,49.8,40.5,4.24,4.66,3.82,2019
Malcolm Miller,TOR,28,24,4,162,69675,13.2,6.9,6.3,4.48,4.68,4.29,2019
Malcolm Brogdon,IND,54,34,20,1666,635103,120.3,67.6,52.7,4.06,4.53,3.59,2019
Luke Kornet,CHI,36,11,25,559,217654,41.2,22,19.2,4.21,4.57,3.85,2019
Luke Kennard,DET,27,11,16,888,356284,67.5,38.3,29.1,4.26,4.65,3.82,2019
Luka Samanic,SAS,3,1,2,48,19996,3.8,1.9,1.9,4.43,5.04,3.96,2019
Luka Doncic,DAL,59,34,25,1973,741188,140.4,81,59.4,4,4.51,3.46,2019
Luguentz Dort,OKC,36,26,10,820,318546,60.3,29.6,30.7,4.14,4.08,4.2,2019
Luc Mbah a Moute,HOU,3,1,2,25,8974,1.7,0.8,0.9,3.81,4.05,3.63,2019
Louis King,DET,10,3,7,62,25749,4.9,2.8,2.1,4.36,4.85,3.85,2019
Lou Williams,LAC,65,44,21,1864,693382,131.3,73.5,57.8,3.92,4.46,3.4,2019
Lonzo Ball,NOP,62,26,36,1985,793296,150.2,82.4,67.9,4.3,4.84,3.79,2019
Lonnie Walker IV,SAS,60,28,32,967,381705,72.3,38.4,33.9,4.22,4.57,3.89,2019
LeBron James,LAL,67,50,17,2316,811777,153.7,84.5,69.2,3.74,4.17,3.32,2019
Lauri Markkanen,CHI,50,18,32,1492,589992,111.7,60.1,51.6,4.22,4.66,3.8,2019
Larry Nance Jr.,CLE,56,16,40,1472,563621,106.7,57.7,49,4.06,4.25,3.86,2019
Langston Galloway,DET,65,20,45,1682,660652,125.1,67.1,58,4.26,4.49,4.02,2019
Landry Shamet,LAC,53,34,19,1452,623281,118,63.9,54.2,4.54,5.01,4.09,2019
Lance Thomas,BKN,7,4,3,98,39646,7.5,4,3.5,4.4,4.59,4.21,2019
LaMarcus Aldridge,SAS,52,22,30,1717,633858,120,64.8,55.2,3.94,4.2,3.68,2019
Kyrie Irving,BKN,20,8,12,658,250219,47.4,26.1,21.3,4.04,4.52,3.58,2019
Kyle O'Quinn,PHI,29,18,11,313,110034,20.8,11.5,9.3,3.84,4.01,3.64,2019
Kyle Lowry,TOR,57,40,17,2063,743468,140.8,76.4,64.4,3.81,4.23,3.41,2019
Kyle Kuzma,LAL,61,46,15,1526,610434,115.6,61.7,53.9,4.23,4.58,3.9,2019
Kyle Korver,MIL,57,42,15,942,388240,73.5,38.9,34.6,4.37,4.69,4.06,2019
Kyle Guy,SAC,3,2,1,10,4341,0.8,0.4,0.4,4.46,4.48,4.44,2019
Kyle Anderson,MEM,67,32,35,1330,527809,100,53.5,46.5,4.21,4.52,3.91,2019
Kyle Alexander,MIA,2,0,2,13,5631,1.1,0.5,0.6,4.55,4.17,4.93,2019
Ky Bowman,GSW,45,9,36,1015,430313,81.5,43.3,38.2,4.52,4.75,4.28,2019
Kristaps Porzingis,DAL,55,30,25,1739,636121,120.5,66.3,54.2,3.9,4.21,3.58,2019
Kris Dunn,CHI,51,19,32,1269,514188,97.4,50.6,46.8,4.31,4.59,4.05,2019
Kostas Antetokounmpo,LAL,5,3,2,20,7004,1.3,0.7,0.6,4.11,4.51,3.73,2019
Khyri Thomas,DET,8,2,6,61,25161,4.8,2.7,2.1,4.46,4.76,4.13,2019
Khris Middleton,MIL,61,45,16,1818,716165,135.6,71.6,64,4.2,4.66,3.78,2019
Khem Birch,ORL,48,19,29,922,365764,69.3,36.9,32.4,4.25,4.4,4.08,2019
Kevon Looney,GSW,20,6,14,262,103275,19.6,10.6,9,4.22,4.48,3.95,2019
Kevin Porter Jr.,CLE,50,15,35,1162,463630,87.8,46.6,41.2,4.24,4.38,4.1,2019
Kevin Love,CLE,56,16,40,1780,644741,122.1,67.4,54.7,3.87,4.09,3.63,2019
Kevin Knox II,NYK,65,21,44,1166,442068,83.7,44.4,39.4,4.16,4.46,3.88,2019
Kevin Huerter,ATL,56,19,37,1760,709696,134.4,71.4,63,4.28,4.58,3.98,2019
Kevin Hervey,OKC,10,3,7,52,20349,3.9,2,1.8,4.16,4.32,3.78,2019
Kentavious Caldwell-Pope,LAL,69,51,18,1762,679313,128.7,66.4,62.3,4.16,4.36,3.96,2019
Kent Bazemore,SAC,67,32,35,1661,687480,130.2,69.9,60.3,4.37,4.64,4.1,2019
Kenrich Williams,NOP,39,12,27,832,350758,66.4,35.8,30.6,4.5,5,4.03,2019
Kendrick Nunn,MIA,66,42,24,1935,749896,142,78.8,63.3,4.13,4.49,3.75,2019
Kemba Walker,BOS,56,37,19,1742,688020,130.3,72.7,57.6,4.21,4.71,3.7,2019
Kelly Oubre Jr.,PHX,55,22,33,1893,727960,137.9,74.2,63.7,4.08,4.42,3.74,2019
Kelly Olynyk,MIA,66,41,25,1287,506305,95.9,53,42.9,4.15,4.53,3.77,2019
Keldon Johnson,SAS,17,8,9,301,124477,23.6,12.3,11.2,4.36,4.66,4.04,2019
Kelan Martin,MIN,31,12,19,495,199537,37.8,19.8,18,4.25,4.54,3.98,2019
Keita Bates-Diop,DEN,44,10,34,744,293094,55.5,30.3,25.2,4.17,4.48,3.84,2019
Kawhi Leonard,LAC,57,41,16,1848,721905,136.7,74.7,62,4.14,4.6,3.7,2019
Karl-Anthony Towns,MIN,35,10,25,1187,437066,82.8,44,38.8,3.9,4.15,3.65,2019
Kadeem Allen,NYK,10,3,7,117,47535,9,5.2,3.8,4.28,4.98,3.59,2019
KZ Okpala,MIA,5,2,3,26,9243,1.8,0.8,0.9,4.16,4.09,3.78,2019
Juwan Morgan,UTA,21,12,9,134,53641,10.2,5.6,4.6,4.23,4.46,3.98,2019
Jusuf Nurkic,POR,8,6,2,253,96690,18.3,9.7,8.6,4.09,4.31,3.87,2019
Justise Winslow,MEM,11,7,4,352,137251,26,14.5,11.5,4.11,4.46,3.74,2019
Justin Wright-Foreman,UTA,4,1,3,45,17763,3.4,1.9,1.5,4.24,4.47,3.99,2019
Justin Robinson,WAS,9,2,7,49,14779,2.8,1.5,1.3,4.2,5.01,3.55,2019
Justin Patton,DET,5,2,3,24,9549,1.8,1,0.8,4.09,4.62,3.58,2019
Justin James,SAC,36,14,22,232,97462,18.5,9.4,9,4.42,4.56,4.23,2019
Justin Jackson,DAL,64,38,26,1024,402440,76.2,42.1,34.2,4.3,4.59,3.99,2019
Justin Holiday,IND,73,45,28,1826,739298,140,75.6,64.4,4.34,4.74,3.94,2019
Justin Anderson,BKN,10,6,4,107,40909,7.7,4.4,3.4,4.02,4.42,3.7,2019
Julius Randle,NYK,64,21,43,2080,771660,146.1,79.9,66.2,3.96,4.29,3.61,2019
Juancho Hernangomez,MIN,48,24,24,834,330440,62.6,33,29.6,4.4,4.65,4.16,2019
Juan Toscano-Anderson,GSW,13,3,10,272,117576,22.3,12.5,9.8,4.58,5.06,4.09,2019
Jrue Holiday,NOP,60,26,34,2080,836911,158.5,86.8,71.7,4.28,4.88,3.72,2019
Josh Richardson,PHI,55,33,22,1693,685476,129.8,71.4,58.4,4.29,4.56,3.99,2019
Josh Reaves,DAL,4,2,2,28,11138,2.1,1.1,1,4.17,4.41,3.93,2019
Josh Okogie,MIN,62,19,43,1547,623424,118.1,60.1,58,4.27,4.36,4.18,2019
Josh Magette,ORL,8,3,5,38,13419,2.5,1.5,1.1,4.21,4.74,3.96,2019
Josh Jackson,MEM,22,10,12,381,150050,28.4,15,13.4,4.17,4.46,3.9,2019
Josh Hart,NOP,64,26,38,1742,707965,134.1,71.5,62.6,4.29,4.69,3.91,2019
Josh Gray,NOP,2,1,1,23,9653,1.8,0.9,0.9,4.3,4.34,4.26,2019
Jordan Poole,GSW,57,12,45,1274,489431,92.7,51.4,41.2,4.07,4.53,3.61,2019
Jordan McRae,DET,37,12,25,785,292463,55.4,29.7,25.7,3.95,4.31,3.6,2019
Jordan McLaughlin,MIN,30,7,23,590,243940,46.2,25.3,20.9,4.52,4.96,4.08,2019
Jordan Clarkson,UTA,71,34,37,1705,701413,132.8,74,58.8,4.37,4.72,4,2019
Jordan Bone,DET,10,3,7,53,18957,3.6,2,1.5,4.3,4.4,3.92,2019
Jordan Bell,CLE,29,8,21,256,97557,18.5,9.9,8.6,4.23,4.53,3.94,2019
Jonathan Isaac,ORL,34,15,19,980,395455,74.9,41.4,33.5,4.33,4.83,3.84,2019
Jonas Valanciunas,MEM,70,32,38,1845,695248,131.7,71.1,60.6,4.02,4.31,3.73,2019
Jonah Bolden,PHX,7,6,1,47,18879,3.6,2,1.6,4.43,4.54,4.29,2019
Johnathan Williams,WAS,15,7,8,180,72059,13.6,7.3,6.3,4.28,4.6,3.95,2019
Johnathan Motley,LAC,13,8,5,41,15670,3,1.5,1.4,4.21,4.45,3.72,2019
John Konchar,MEM,19,9,10,181,72355,13.7,7.5,6.2,4.37,4.59,4.12,2019
John Henson,DET,40,8,32,600,222989,42.2,22.5,19.7,3.96,4.11,3.8,2019
John Collins,ATL,41,15,26,1363,536503,101.6,55.1,46.5,4.18,4.59,3.78,2019
Joel Embiid,PHI,51,32,19,1506,538731,102,55.7,46.3,3.77,4.01,3.52,2019
Joe Ingles,UTA,72,44,28,2137,843909,159.8,87.5,72.4,4.2,4.5,3.89,2019
Joe Harris,BKN,69,33,36,2123,876642,166,94.9,71.1,4.46,5.08,3.83,2019
Joe Chealey,CHA,4,1,3,33,14524,2.8,1.5,1.3,4.73,5.16,4.32,2019
Joakim Noah,LAC,5,4,1,50,20590,3.9,2.3,1.6,4.28,4.73,3.76,2019
Jimmy Butler,MIA,58,38,20,1959,774378,146.7,79.7,67,4.2,4.46,3.93,2019
Jevon Carter,PHX,58,29,29,945,390569,74,37.8,36.2,4.47,4.54,4.4,2019
Jerome Robinson,WAS,63,36,27,979,412620,78.1,41.5,36.7,4.54,4.96,4.15,2019
Jerian Grant,WAS,6,1,5,80,31453,6,3.2,2.7,4.13,4.33,3.77,2019
Jeremy Pargo,GSW,3,0,3,44,18246,3.5,1.9,1.6,4.44,5.19,3.79,2019
Jeremy Lamb,IND,46,27,19,1291,504380,95.5,50.9,44.7,4.16,4.37,3.94,2019
Jeremiah Martin,BKN,9,6,3,99,42448,8,4.5,3.5,4.44,4.72,4.13,2019
Jerami Grant,DEN,71,45,26,1892,726685,137.6,75.1,62.6,4.06,4.31,3.8,2019
Jeff Teague,ATL,59,22,37,1464,513529,97.3,53.4,43.9,3.71,4.09,3.33,2019
Jeff Green,HOU,48,28,20,960,346005,65.5,33.8,31.8,3.9,4.13,3.68,2019
Jayson Tatum,BOS,66,46,20,2265,854579,161.9,87.9,73.9,4.01,4.38,3.63,2019
Jaylen Nowell,MIN,15,2,13,151,61813,11.7,6.3,5.5,4.32,4.73,4,2019
Jaylen Hoard,POR,13,7,6,103,45024,8.5,4.5,4.1,4.59,4.89,4.4,2019
Jaylen Brown,BOS,57,38,19,1934,745766,141.2,74,67.2,4.11,4.37,3.86,2019
Jaxson Hayes,NOP,63,28,35,1076,434555,82.3,43.5,38.8,4.27,4.68,3.89,2019
Javonte Green,BOS,48,33,15,468,189846,36,18.8,17.2,4.33,4.54,4.12,2019
Jarrod Uthoff,WAS,7,4,3,53,21960,4.2,2.3,1.9,4.44,4.83,4.04,2019
Jarrett Culver,MIN,63,19,44,1506,594490,112.6,61.1,51.5,4.22,4.6,3.85,2019
Jarrett Allen,BKN,70,33,37,1852,702271,133,72.4,60.6,4.05,4.44,3.66,2019
Jarrell Brantley,UTA,9,3,6,96,35572,6.7,3.8,2.9,4.1,4.37,3.8,2019
Jarred Vanderbilt,MIN,11,6,5,47,16346,3.1,1.7,1.4,4.37,4.8,3.94,2019
Jaren Jackson Jr.,MEM,57,28,29,1622,650768,123.3,67.5,55.8,4.27,4.71,3.83,2019
Jared Harper,NYK,3,1,2,8,2402,0.5,0.2,0.2,4.53,3.76,3.51,2019
Jared Dudley,LAL,45,30,15,364,140559,26.6,15,11.6,4.11,4.59,3.61,2019
James Johnson,MIN,32,14,18,620,238875,45.2,24.5,20.8,4.1,4.53,3.7,2019
James Harden,HOU,68,43,25,2483,819901,155.3,82.1,73.2,3.53,3.87,3.22,2019
James Ennis III,ORL,69,42,27,1266,519746,98.4,52.6,45.9,4.45,4.7,4.21,2019
Jamal Murray,DEN,59,38,21,1903,760214,144,80.9,63.1,4.25,4.67,3.82,2019
Jamal Crawford,BKN,1,1,0,6,2227,0.4,0.3,0.2,3.83,5.22,4.27,2019
Jalen McDaniels,CHA,16,7,9,293,123695,23.4,12.8,10.6,4.52,4.91,4.12,2019
Jalen Lecque,PHX,5,2,3,32,12968,2.5,1.3,1.2,4.36,4.77,4,2019
Jalen Brunson,DAL,56,33,23,1007,403546,76.4,42,34.5,4.25,4.56,3.93,2019
Jakob Poeltl,SAS,65,29,36,1155,488267,92.5,49.6,42.9,4.49,4.89,4.11,2019
Jake Layman,MIN,23,11,12,505,211957,40.1,21.8,18.3,4.41,4.81,4,2019
Jahlil Okafor,NOP,30,9,21,467,185186,35.1,18.6,16.5,4.21,4.57,3.86,2019
Jae Crowder,MIA,64,29,35,1840,709444,134.4,71.4,63,4.1,4.39,3.81,2019
Jacob Evans,MIN,29,8,21,418,177142,33.5,18,15.5,4.53,4.93,4.14,2019
Jabari Parker,SAC,38,9,29,918,387940,73.5,39.9,33.6,4.46,4.87,4.06,2019
JaVale McGee,LAL,68,51,17,1130,431022,81.6,42,39.6,4.1,4.31,3.91,2019
JaMychal Green,LAC,63,43,20,1307,511920,97,51.3,45.6,4.12,4.46,3.78,2019
JaKarr Sampson,IND,34,21,13,471,191595,36.3,19.1,17.2,4.34,4.54,4.14,2019
Ja Morant,MEM,67,33,34,2074,847701,160.5,89.8,70.7,4.33,4.84,3.82,2019
JR Smith,LAL,6,2,4,79,31422,6,3.1,2.9,4.25,4.73,3.84,2019
JJ Redick,NOP,60,26,34,1581,665917,126.1,69,57.1,4.46,5.05,3.91,2019
J.P. Macura,CLE,1,1,0,1,229,0,0,0,0,0,0,2019
J.J. Barea,DAL,29,15,14,450,175672,33.3,19.1,14.1,4.17,4.66,3.64,2019
Ivica Zubac,LAC,72,49,23,1326,520699,98.6,52.9,45.8,4.19,4.55,3.84,2019
Ish Smith,WAS,68,23,45,1787,753691,142.7,80.3,62.4,4.46,5.15,3.81,2019
Isaiah Thomas,WAS,40,14,26,925,326084,61.8,35.1,26.7,3.87,4.37,3.36,2019
Isaiah Roby,OKC,3,2,1,11,3779,0.7,0.4,0.4,4.51,6.04,4.5,2019
Isaiah Hartenstein,HOU,23,16,7,266,110289,20.9,10.9,10,4.4,4.67,4.13,2019
Isaac Bonga,WAS,66,22,44,1250,505348,95.7,49.1,46.6,4.3,4.47,4.14,2019
Iman Shumpert,BKN,13,9,4,241,94862,18,9.1,8.8,4.18,4.31,4.01,2019
Ignas Brazdeikis,NYK,9,1,8,53,18588,3.5,1.8,1.7,4.17,4.52,3.86,2019
Ian Mahinmi,WAS,38,15,23,808,317015,60,32.3,27.8,4.17,4.45,3.9,2019
Henry Ellenson,BKN,5,2,3,15,6435,1.2,0.7,0.6,4.31,5.31,4.1,2019
Hassan Whiteside,POR,66,33,33,1973,716653,135.7,71.9,63.8,3.88,4,3.75,2019
Harry Giles III,SAC,45,22,23,653,249345,47.2,24.6,22.6,4.04,4.21,3.87,2019
Harrison Barnes,SAC,71,31,40,2448,982538,186.1,100.5,85.6,4.25,4.6,3.89,2019
Hamidou Diallo,OKC,46,25,21,896,356709,67.6,35.8,31.8,4.3,4.52,4.08,2019
Grayson Allen,MEM,38,16,22,718,296025,56.1,29.7,26.4,4.34,4.65,4.04,2019
Grant Williams,BOS,69,47,22,1043,414029,78.4,40.9,37.5,4.19,4.37,4.01,2019
Gorgui Dieng,MEM,63,20,43,1096,418163,79.2,43.4,35.8,4.06,4.4,3.71,2019
Gordon Hayward,BOS,52,34,18,1740,710042,134.5,73.3,61.1,4.33,4.76,3.91,2019
Goran Dragic,MIA,58,37,21,1632,642832,121.7,69.4,52.4,4.14,4.67,3.61,2019
Goga Bitadze,IND,54,32,22,471,182530,34.6,18.7,15.9,4.15,4.41,3.88,2019
Glenn Robinson III,PHI,62,17,45,1786,752827,142.6,75.8,66.8,4.49,4.81,4.18,2019
Giannis Antetokounmpo,MIL,62,50,12,1885,729714,138.2,75.5,62.7,4.13,4.75,3.56,2019
Georges Niang,UTA,66,41,25,923,371981,70.5,38.9,31.6,4.3,4.63,3.96,2019
George Hill,MIL,58,46,12,1247,493269,93.4,50.4,43,4.24,4.52,3.95,2019
Gary Trent Jr.,POR,60,28,32,1299,490234,92.8,48.3,44.6,4.07,4.18,3.97,2019
Gary Payton II,WAS,29,13,16,432,190168,36,18.5,17.5,4.67,4.89,4.47,2019
Gary Harris,DEN,56,37,19,1780,665575,126.1,66.4,59.7,4.08,4.23,3.93,2019
Gary Clark,ORL,42,23,19,566,227634,43.1,22.9,20.2,4.24,4.57,3.92,2019
Garrison Mathews,WAS,18,8,10,227,94791,18,9.1,8.8,4.38,4.6,4.14,2019
Garrett Temple,BKN,62,30,32,1730,665809,126.1,67.9,58.2,4.18,4.5,3.86,2019
Gabe Vincent,MIA,9,5,4,83,26248,5,2.6,2.3,4.25,4.48,3.86,2019
Furkan Korkmaz,PHI,72,42,30,1559,642659,121.7,66.9,54.8,4.35,4.68,4.01,2019
Fred VanVleet,TOR,54,40,14,1928,758289,143.6,78.2,65.4,4.16,4.59,3.74,2019
Frank Ntilikina,NYK,57,19,38,1187,477474,90.4,48.9,41.5,4.29,4.64,3.93,2019
Frank Mason,MIL,9,6,3,118,46196,8.7,4.7,4.1,4.15,4.54,3.88,2019
Frank Kaminsky,PHX,38,19,19,745,295311,55.9,31.1,24.8,4.21,4.63,3.78,2019
Frank Jackson,NOP,58,26,32,776,321109,60.8,32.6,28.2,4.35,4.79,3.94,2019
Evan Turner,MIN,19,3,16,251,97793,18.5,10.1,8.5,4.05,4.3,3.83,2019
Evan Fournier,ORL,66,28,38,2076,835388,158.2,86.2,72,4.3,4.68,3.92,2019
Ersan Ilyasova,MIL,62,47,15,971,393349,74.5,40.3,34.2,4.32,4.74,3.92,2019
Eric Paschall,GSW,60,14,46,1654,668256,126.6,67.8,58.7,4.34,4.68,4,2019
Eric Mika,SAC,1,0,1,19,7620,1.4,0.8,0.7,4.11,4.93,3.92,2019
Eric Gordon,HOU,36,21,15,1016,353622,67,34,33,3.69,3.97,3.45,2019
Eric Bledsoe,MIL,60,47,13,1615,654074,123.9,65.3,58.6,4.32,4.86,3.84,2019
Enes Kanter,BOS,58,36,22,983,366347,69.4,35.8,33.6,3.97,4.03,3.9,2019
Emmanuel Mudiay,UTA,54,34,20,850,352218,66.7,38,28.7,4.42,4.89,3.91,2019
Elie Okobo,PHX,54,23,31,703,295685,56,30.4,25.6,4.49,4.85,4.13,2019
Elfrid Payton,NYK,45,17,28,1246,504873,95.6,52.6,43,4.32,4.72,3.91,2019
Edmond Sumner,IND,31,16,15,447,184356,34.9,18.2,16.7,4.37,4.66,4.09,2019
Ed Davis,UTA,28,16,12,303,119351,22.6,12.2,10.4,4.16,4.39,3.92,2019
E'Twaun Moore,NOP,55,27,28,1004,413448,78.3,42.6,35.8,4.42,4.9,3.96,2019
Dzanan Musa,BKN,40,20,20,487,194015,36.7,19.9,16.9,4.26,4.61,3.92,2019
Dwight Powell,DAL,39,24,15,1029,406349,77,42.2,34.7,4.23,4.55,3.88,2019
Dwight Howard,LAL,69,52,17,1306,488646,92.5,48.7,43.9,3.98,4.18,3.78,2019
Dwayne Bacon,CHA,39,10,29,687,262795,49.8,26.6,23.2,4.06,4.3,3.82,2019
Dusty Hannahs,MEM,2,0,2,13,4994,0.9,0.5,0.4,3.76,4.34,3.22,2019
Duncan Robinson,MIA,72,44,28,2128,854223,161.8,90.3,71.5,4.27,4.71,3.82,2019
Drew Eubanks,SAS,22,13,9,272,110805,21,11.2,9.8,4.32,4.67,3.97,2019
Draymond Green,GSW,43,10,33,1222,445929,84.5,44.5,39.9,3.91,4.27,3.56,2019
Dragan Bender,GSW,15,9,6,280,110535,20.9,11.4,9.5,4.18,4.55,3.81,2019
Doug McDermott,IND,69,43,26,1372,575438,109,59.8,49.1,4.56,5.02,4.11,2019
Dorian Finney-Smith,DAL,69,38,31,2079,827671,156.8,82.9,73.9,4.24,4.41,4.06,2019
Donte DiVincenzo,MIL,65,52,13,1495,624246,118.2,62.4,55.8,4.44,4.85,4.05,2019
Donta Hall,BKN,9,4,5,133,55093,10.4,5.8,4.6,4.34,4.5,4.15,2019
Donovan Mitchell,UTA,69,43,26,2364,878064,166.3,91.8,74.5,3.94,4.29,3.59,2019
Domantas Sabonis,IND,62,37,25,2159,827032,156.6,83.6,73.1,4.08,4.38,3.8,2019
Dion Waiters,LAL,10,4,6,207,76449,14.5,7.9,6.6,3.89,4.43,3.39,2019
Dillon Brooks,MEM,73,34,39,2112,812819,153.9,79.7,74.2,4.09,4.26,3.93,2019
Dewayne Dedmon,ATL,44,17,27,774,290934,55.1,29,26.1,3.98,4.23,3.72,2019
Dewan Hernandez,TOR,6,6,0,28,11926,2.3,1.2,1,4.43,4.38,4.07,2019
Devonte' Graham,CHA,62,23,39,2179,842916,159.6,89.9,69.7,4.11,4.57,3.64,2019
Devontae Cacok,LAL,1,0,1,9,3828,0.7,0.4,0.3,4.28,4.95,3.62,2019
Devon Hall,OKC,11,6,5,81,31066,5.9,3.3,2.6,4.05,4.67,3.46,2019
Devin Booker,PHX,70,34,36,2512,992861,188,105,83,4.19,4.72,3.68,2019
Derrick White,SAS,67,31,36,1655,675564,127.9,71.3,56.6,4.3,4.81,3.8,2019
Derrick Walton Jr.,DET,26,15,11,248,99397,18.8,9.9,9,4.26,4.43,4.12,2019
Derrick Rose,DET,49,17,32,1272,506143,95.9,53.7,42.2,4.22,4.72,3.72,2019
Derrick Jones Jr.,MIA,58,34,24,1350,530813,100.5,52,48.6,4.15,4.31,4,2019
