PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Marco Belinelli,SAS,80,61,19,2016,794416,150.5,83.6,66.8,4.49,5.04,3.94,2013
Marcin Gortat,WAS,80,44,36,2620,962246,182.2,95.9,86.4,4.18,4.48,3.89,2013
Marc Gasol,MEM,59,40,19,1970,645651,122.3,65.9,56.4,3.74,3.83,3.63,2013
MarShon Brooks,LAL,35,13,22,317,119138,22.6,11.5,11.1,4.3,4.5,4.11,2013
Manu Ginobili,SAS,68,52,16,1550,574896,108.9,57.9,51,4.22,4.64,3.82,2013
Manny Harris,LAL,9,2,7,180,68807,13,6.4,6.6,4.35,4.6,4.13,2013
Malcolm Thomas,UTA,8,2,6,63,23169,4.4,2.4,2,4.24,4.56,3.9,2013
Maalik Wayns,LAC,2,2,0,9,3812,0.7,0.4,0.4,4.51,4.83,5.52,2013
Luol Deng,CLE,63,29,34,2213,811800,153.8,82.4,71.4,4.18,4.47,3.9,2013
Luke Ridnour,CHA,60,21,39,1129,436360,82.6,46.4,36.3,4.39,4.8,3.97,2013
Luke Babbitt,NOP,27,9,18,473,180344,34.2,19.3,14.9,4.35,4.75,3.92,2013
Luis Scola,IND,82,56,26,1399,540711,102.4,56.2,46.2,4.4,4.72,4.07,2013
Luc Mbah a Moute,MIN,64,31,33,1003,363952,68.9,36.3,32.7,4.15,4.28,4.02,2013
Lou Williams,ATL,59,26,33,1420,492504,93.3,50.2,43.1,3.95,4.35,3.57,2013
Lou Amundson,CHI,19,11,8,185,72804,13.8,7.6,6.2,4.5,4.95,4.06,2013
Lorenzo Brown,PHI,26,2,24,224,94940,18,9.3,8.7,4.84,5.32,4.42,2013
Leandro Barbosa,PHX,20,12,8,368,136116,25.8,13.9,11.8,4.22,4.56,3.85,2013
LeBron James,MIA,77,52,25,2902,989688,187.4,97.6,89.8,3.88,4.1,3.66,2013
Lavoy Allen,IND,65,18,47,1071,402997,76.3,39.8,36.5,4.27,4.61,3.96,2013
Larry Sanders,MIL,22,3,19,563,199591,37.8,20.4,17.4,4.04,4.34,3.73,2013
Landry Fields,TOR,29,13,16,294,115236,21.8,11.7,10.1,4.46,4.66,4.25,2013
Lance Thomas,NOP,5,3,2,42,16527,3.1,1.7,1.4,4.41,4.53,4.28,2013
Lance Stephenson,IND,78,53,25,2752,944853,178.9,93.8,85.2,3.91,4.01,3.81,2013
LaMarcus Aldridge,POR,69,46,23,2499,880248,166.7,89.4,77.3,4.01,4.23,3.78,2013
Kyrie Irving,CLE,71,28,43,2496,921592,174.5,94.9,79.7,4.2,4.56,3.85,2013
Kyle Singler,DET,82,29,53,2337,938022,177.7,93.4,84.2,4.57,4.85,4.29,2013
Kyle O'Quinn,ORL,69,20,49,1188,422665,80.1,43.2,36.8,4.05,4.34,3.75,2013
Kyle Lowry,TOR,78,44,34,2828,990702,187.6,103.3,84.3,3.99,4.28,3.68,2013
Kyle Korver,ATL,70,37,33,2380,912832,172.9,92.9,80,4.37,4.77,3.98,2013
Kris Humphries,BOS,69,22,47,1376,507837,96.2,51.9,44.3,4.2,4.49,3.91,2013
Kosta Koufos,MEM,80,48,32,1349,508530,96.3,52.7,43.6,4.29,4.56,4.01,2013
Kobe Bryant,LAL,6,2,4,177,61362,11.6,6.5,5.1,3.94,4.42,3.47,2013
Klay Thompson,GSW,80,50,30,2827,1060354,200.8,103.8,97,4.28,4.68,3.92,2013
Kirk Hinrich,CHI,73,45,28,2116,846610,160.3,89.4,70.9,4.56,4.93,4.16,2013
Khris Middleton,MIL,81,15,66,2441,916434,173.6,93.8,79.7,4.27,4.6,3.92,2013
Kevin Seraphin,WAS,53,25,28,578,218962,41.5,21.7,19.8,4.31,4.57,4.05,2013
Kevin Martin,MIN,68,32,36,2177,770661,146,77,69,4.05,4.24,3.85,2013
Kevin Love,MIN,77,39,38,2796,957732,181.4,98.3,83.1,3.91,4.22,3.6,2013
Kevin Garnett,BKN,53,26,27,1090,390012,73.9,38.6,35.2,4.09,4.35,3.83,2013
Kevin Durant,OKC,81,58,23,3122,1081489,204.8,108,96.9,3.94,4.31,3.6,2013
Kenyon Martin,NYK,32,13,19,633,208803,39.5,20.4,19.1,3.75,3.81,3.7,2013
Kentavious Caldwell-Pope,DET,80,28,52,1583,592646,112.2,57.5,54.7,4.26,4.41,4.12,2013
Kent Bazemore,LAL,67,35,32,911,357026,67.6,34.6,33,4.46,4.81,4.15,2013
Kenneth Faried,DEN,80,36,44,2178,815728,154.5,80,74.5,4.27,4.54,4.01,2013
Kendrick Perkins,OKC,62,48,14,1207,422660,80,41.1,38.9,3.99,4.24,3.75,2013
Kendall Marshall,LAL,54,14,40,1564,574071,108.7,58.3,50.4,4.18,4.73,3.69,2013
Kemba Walker,CHA,72,37,35,2577,956911,181.2,102.8,78.4,4.23,4.7,3.73,2013
Kelly Olynyk,BOS,70,18,52,1400,536574,101.6,55.1,46.6,4.36,4.74,3.99,2013
Keith Bogans,BOS,6,1,5,55,19068,3.6,1.9,1.7,3.89,3.75,4.06,2013
