PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Chris Andersen,MIA,35,6/10,245,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,72,477,379,19,6.6,10.80%,18.60%,13.60%,68.30%,2.10%,2013
Chris Babb,BOS,24,6/5,225,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,22,17,3,-4.5,2.70%,10.20%,10.90%,36.70%,3.40%,2013
Chris Bosh,MIA,30,6/11,235,Georgia Tech,USA,2003,1,4,79,"1,281.00",522,87,8.9,4.70%,17.50%,22.40%,59.70%,5.60%,2013
Chris Copeland,IND,30,6/8,235,Colorado,USA,Undrafted,Undrafted,Undrafted,41,153,32,18,-3.7,2.70%,9.80%,22.80%,62.10%,12.40%,2013
Chris Douglas-Roberts,CHA,27,6/7,210,Memphis,USA,2008,2,40,49,339,119,51,-0.4,1.60%,10.00%,14.30%,58.80%,8.10%,2013
Chris Johnson,BOS,24,6/6,201,Dayton,USA,Undrafted,Undrafted,Undrafted,40,250,97,31,0.9,3.70%,8.90%,13.70%,53.70%,5.90%,2013
Chris Kaman,LAL,32,7/1,265,Central Michigan,USA,2003,1,6,39,404,229,58,-3.7,7.10%,21.40%,26.00%,53.70%,14.00%,2013
Chris Paul,LAC,29,6/1,175,Wake Forest,USA,2005,1,4,62,"1,185.00",268,663,11.3,1.80%,10.10%,23.00%,58.00%,45.90%,2013
Chris Singleton,WAS,24,6/9,228,Florida State,USA,2011,1,18,25,75,55,6,-11.5,6.40%,16.70%,16.70%,48.10%,4.30%,2013
Chris Smith,NYK,26,6/2,200,Louisville,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,-125,0.00%,0.00%,0.00%,0.00%,0.00%,2013
Chris Wright,MIL,25,6/9,226,University of Dayton,USA,Undrafted,Undrafted,Undrafted,8,48,20,5,-5.8,9.00%,7.80%,16.10%,57.70%,5.80%,2013
Chuck Hayes,TOR,31,6/6,250,Kentucky,USA,Undrafted,Undrafted,Undrafted,61,132,210,35,4.3,8.90%,19.50%,10.10%,46.80%,6.90%,2013
Cody Zeller,CHA,21,7/1,240,Indiana,USA,2013,1,4,82,490,353,92,-3,8.00%,15.90%,17.80%,49.80%,10.60%,2013
Cole Aldrich,NYK,25,6/11,245,Kansas,USA,2010,1,11,46,92,129,14,-1.5,11.30%,27.90%,12.40%,62.00%,6.30%,2013
Corey Brewer,MIN,28,6/9,185,Florida,USA,2007,1,7,81,998,207,135,5.9,2.30%,5.60%,15.90%,55.00%,7.50%,2013
Cory Joseph,SAS,22,6/3,190,University of Texas at Austin,Canada,2011,1,29,68,343,107,114,0.1,3.80%,7.90%,16.70%,55.80%,18.00%,2013
Courtney Lee,MEM,28,6/5,200,Western Kentucky,USA,2008,1,22,79,761,187,115,1.3,1.50%,8.30%,16.80%,57.40%,9.30%,2013
D.J. Augustin,CHI,26,6/1,183,Texas-Austin,USA,2008,1,9,71,930,130,313,1.4,0.80%,5.90%,22.10%,56.90%,29.70%,2013
DJ Stephens,MIL,23,6/5,188,Memphis,USA,Undrafted,Undrafted,Undrafted,3,7,5,0,-2.2,5.60%,30.80%,20.00%,47.00%,0.00%,2013
DJ White,CHA,27,6/9,250,Indiana,USA,2008,1,29,2,0,2,0,-15.6,0.00%,33.30%,3.70%,0.00%,0.00%,2013
Damian Lillard,POR,23,6/3,195,Weber State,USA,2012,1,6,82,"1,695.00",288,457,6,1.20%,8.20%,24.40%,56.80%,24.90%,2013
Damion James,SAS,26,6/7,225,Texas-Austin,USA,2010,1,24,5,6,12,3,11.8,1.80%,22.90%,9.50%,30.40%,7.10%,2013
Daniel Orton,PHI,23,6/10,275,Kentucky,USA,2010,1,29,22,65,61,15,-7.1,5.90%,18.40%,12.60%,54.00%,9.70%,2013
Danny Granger,LAC,31,6/9,228,New Mexico,USA,2005,1,17,41,338,133,41,5.9,3.50%,11.40%,19.50%,50.20%,8.00%,2013
Danny Green,SAS,27,6/6,215,North Carolina,USA,2009,2,46,68,618,229,104,9.9,1.60%,11.70%,16.20%,58.00%,9.20%,2013
Dante Cunningham,MIN,27,6/8,221,Villanova,USA,2009,2,33,81,510,330,83,-1.1,6.50%,13.40%,15.10%,47.40%,8.00%,2013
Darius Johnson-Odom,PHI,24,6/2,215,Marquette,USA,2012,2,55,3,0,2,1,-4.2,0.00%,12.50%,25.60%,0.00%,10.00%,2013
Darius Miller,NOP,24,6/8,225,Kentucky,USA,2012,2,46,45,200,52,43,3.1,1.30%,6.00%,12.50%,55.00%,9.00%,2013
Darius Morris,MEM,23,6/4,195,Michigan,USA,2011,2,41,27,107,26,44,-9.1,2.10%,6.60%,18.10%,49.80%,25.90%,2013
Darrell Arthur,DEN,26,6/9,235,Kansas,USA,2008,1,27,68,401,210,61,3.1,4.40%,12.60%,18.10%,45.90%,8.20%,2013
Darren Collison,LAC,26,6/1,175,UCLA,USA,2009,1,21,80,911,188,297,5.3,2.30%,6.40%,19.40%,57.50%,22.50%,2013
David Lee,GSW,31,6/9,240,Florida,USA,2005,1,30,69,"1,257.00",643,147,10,8.10%,19.30%,24.00%,56.60%,10.10%,2013
David West,IND,33,6/9,250,Xavier,USA,2003,1,18,80,"1,118.00",542,223,8.1,5.10%,15.90%,21.70%,53.30%,15.80%,2013
DeAndre Jordan,LAC,25,6/11,265,Texas A&M,USA,2008,2,35,82,856,"1,114.00",74,8.7,11.90%,26.00%,12.30%,63.00%,3.60%,2013
DeAndre Liggins,MIA,26,6/6,209,Kentucky,USA,2011,2,53,1,2,1,0,-25,50.00%,0.00%,16.70%,100%,0.00%,2013
DeJuan Blair,DAL,25,6/7,270,Pittsburgh,USA,2009,2,37,78,497,368,70,0.7,11.40%,19.80%,18.70%,55.70%,8.80%,2013
DeMar DeRozan,TOR,24,6/7,216,Southern California,USA,2009,1,9,79,"1,791.00",343,313,3.1,1.70%,9.90%,27.80%,53.20%,18.90%,2013
DeMarcus Cousins,SAC,23,6/11,270,Kentucky,USA,2010,1,5,71,"1,614.00",831,207,-0.7,9.70%,27.50%,32.30%,55.50%,17.50%,2013
DeMarre Carroll,ATL,27,6/8,212,Missouri,USA,2009,1,27,73,810,403,134,2.2,4.80%,12.70%,14.90%,57.50%,8.80%,2013
Dennis Schroder,ATL,20,6/1,168,None,Germany,2013,1,17,49,183,60,93,-16.6,0.80%,9.10%,18.80%,44.20%,24.70%,2013
Derek Fisher,OKC,39,6/1,210,Arkansas-Little Rock,USA,1996,1,24,81,425,122,117,8.9,0.90%,7.70%,13.60%,54.20%,12.00%,2013
Deron Williams,BKN,30,6/3,209,Illinois,USA,2005,1,3,64,915,168,392,4.4,0.80%,7.90%,21.40%,56.40%,31.20%,2013
Derrick Favors,UTA,22,6/10,268,Georgia Tech,USA,2010,1,3,73,970,637,91,-8.2,9.20%,21.20%,20.60%,55.60%,7.20%,2013
Derrick Rose,CHI,25,6/3,190,Memphis,USA,2008,1,1,10,159,32,43,-5.7,2.70%,6.80%,28.90%,44.60%,25.70%,2013
Derrick Williams,SAC,23,6/8,240,Arizona,USA,2011,1,2,78,624,323,56,-4.3,3.70%,13.40%,15.80%,52.40%,4.90%,2013
Devin Harris,DAL,31,6/3,192,Wisconsin,USA,2004,1,5,40,315,85,178,8.4,1.00%,9.60%,19.50%,51.70%,31.20%,2013
Dewayne Dedmon,ORL,24,7/1,255,Southern California,USA,Undrafted,Undrafted,Undrafted,31,97,127,5,-6.7,9.60%,25.50%,12.90%,50.00%,2.10%,2013
Dexter Pittman,ATL,26,6/11,285,Texas-Austin,USA,2010,2,32,2,0,3,0,-16.7,60.00%,0.00%,25.00%,0.00%,0.00%,2013
Diante Garrett,UTA,25,6/4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,71,248,97,120,-5.3,1.00%,8.40%,14.80%,45.90%,18.30%,2013
Dion Waiters,CLE,22,6/4,225,Syracuse,USA,2012,1,4,70,"1,113.00",195,209,-1.9,1.50%,7.90%,26.40%,50.80%,18.30%,2013
Dionte Christmas,PHX,27,6/5,205,Temple,USA,Undrafted,Undrafted,Undrafted,31,71,38,8,-7.6,5.90%,13.60%,16.30%,48.90%,6.70%,2013
Dirk Nowitzki,DAL,36,7/1,245,None,Germany,1998,1,9,80,"1,735.00",498,216,5.5,1.60%,18.40%,26.00%,60.30%,14.00%,2013
Donald Sloan,IND,26,6/3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,48,110,44,50,-10.4,1.00%,10.10%,17.00%,43.70%,22.30%,2013
Donatas Motiejunas,HOU,23,7/1,222,None,Lithuania,2011,1,20,62,341,225,34,3.2,6.20%,16.30%,17.20%,50.40%,5.80%,2013
Dorell Wright,POR,28,6/9,205,None,USA,2004,1,19,68,343,191,64,3.6,2.90%,15.70%,15.90%,52.40%,9.60%,2013
Doron Lamb,ORL,22,6/4,200,Kentucky,USA,2012,2,42,53,191,49,43,0.9,1.20%,6.10%,13.10%,54.30%,9.30%,2013
Draymond Green,GSW,24,6/7,230,Michigan State,USA,2012,2,35,82,511,409,152,4.8,4.60%,17.30%,14.60%,49.80%,12.70%,2013
Drew Gooden,WAS,32,6/10,250,Kansas,USA,2002,1,4,22,183,114,15,-3.7,9.90%,21.40%,20.00%,59.10%,6.60%,2013
Dwight Buycks,TOR,25,6/3,190,Marquette,USA,Undrafted,Undrafted,Undrafted,14,43,23,10,1.4,2.50%,13.90%,18.10%,41.40%,11.50%,2013
Dwight Howard,HOU,28,6/11,265,None,USA,2004,1,1,71,"1,297.00",866,131,7,10.20%,25.00%,24.10%,60.00%,9.10%,2013
Dwyane Wade,MIA,32,6/4,220,Marquette,USA,2003,1,5,54,"1,028.00",241,252,4.3,4.10%,10.60%,27.20%,58.80%,24.90%,2013
E'Twaun Moore,ORL,25,6/4,191,Purdue,USA,2011,2,55,79,499,136,112,-5,1.90%,7.00%,15.90%,51.30%,12.20%,2013
Earl Clark,NYK,26,6/10,234,Louisville,USA,2009,1,14,54,257,143,18,-9.3,2.80%,15.90%,17.60%,46.60%,3.90%,2013
Earl Watson,POR,35,6/1,199,UCLA,USA,2001,2,39,24,12,15,28,-1.6,3.10%,6.10%,8.00%,47.00%,24.60%,2013
Ed Davis,MEM,25,6/10,225,North Carolina,USA,2010,1,13,63,357,260,27,3.4,9.70%,17.70%,17.10%,54.20%,4.50%,2013
Ekpe Udoh,MIL,27,6/10,245,Baylor,USA,2010,1,6,42,144,148,31,-9.7,7.70%,10.50%,11.60%,44.00%,5.90%,2013
Elias Harris,LAL,24,6/8,239,Gonzaga,Germany,Undrafted,Undrafted,Undrafted,2,0,1,1,-18.6,8.30%,0.00%,3.60%,0.00%,9.10%,2013
Elliot Williams,PHI,25,6/5,180,Memphis,USA,2010,1,22,67,404,130,72,-14.1,2.30%,8.70%,16.30%,51.90%,10.40%,2013
Elton Brand,ATL,35,6/9,254,Duke,USA,1999,1,1,73,419,361,74,-1.8,7.50%,19.00%,13.80%,56.10%,8.10%,2013
Enes Kanter,UTA,22,6/11,247,None,Turkey,2011,1,3,80,987,598,75,-12.2,10.30%,19.50%,22.80%,52.30%,6.40%,2013
Eric Bledsoe,PHX,24,6/1,195,Kentucky,USA,2010,1,18,43,763,202,235,4.3,1.90%,12.00%,24.40%,57.80%,27.20%,2013
Eric Gordon,NOP,25,6/4,215,Indiana,USA,2008,1,7,64,988,165,208,-6.4,1.50%,7.10%,22.70%,54.00%,16.40%,2013
Eric Maynor,PHI,27,6/3,175,Virginia Commonwealth,USA,2009,1,20,31,82,39,52,-24.8,2.50%,10.00%,17.80%,38.70%,29.10%,2013
Erik Murphy,CHI,23,6/10,230,Florida,Finland,2013,2,49,24,6,8,2,-41.4,2.70%,10.20%,10.10%,23.10%,6.50%,2013
Ersan Ilyasova,MIL,27,6/10,235,None,Turkey,2005,2,36,55,618,342,72,-8.1,6.80%,16.80%,21.00%,48.60%,8.60%,2013
Evan Fournier,DEN,21,6/6,200,None,France,2012,1,20,76,638,202,112,0.4,2.10%,10.70%,19.10%,53.30%,11.90%,2013
Evan Turner,IND,25,6/7,220,Ohio State,USA,2010,1,2,81,"1,131.00",408,262,-7.4,2.40%,13.40%,22.90%,49.80%,17.40%,2013
Francisco Garcia,HOU,32,6/7,195,Louisville,Dominican Rep...,2005,1,23,55,315,122,63,1.5,2.00%,8.60%,13.10%,52.10%,9.00%,2013
Gal Mekel,DAL,26,6/3,191,Wichita State,Israel,Undrafted,Undrafted,Undrafted,31,73,27,63,-0.8,1.60%,8.50%,17.60%,40.00%,29.90%,2013
