PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Chris Silva,SAC,24,6/8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,15,32,27,6,-0.5,8.20%,21.70%,15.10%,70.80%,10.20%,2020
Christian Wood,HOU,25,6/10,214,UNLV,USA,Undrafted,Undrafted,Undrafted,41,860,395,71,-3.8,5.50%,22.80%,25.50%,59.10%,8.90%,2020
Chuma Okeke,ORL,22,6/6,229,Auburn,USA,2019,1,16,45,349,181,101,-7.2,3.30%,11.70%,14.20%,51.10%,13.20%,2020
Clint Capela,ATL,27,6/10,240,None,Switzerland,2014,1,25,63,956,903,49,6.6,15.50%,30.10%,19.30%,60.10%,3.90%,2020
Coby White,CHI,21,6/5,195,North Carolina,USA,2019,1,7,69,"1,041.00",284,328,-2.7,1.30%,11.60%,21.90%,54.00%,21.80%,2020
Cody Martin,CHA,25,6/5,205,Nevada-Reno,USA,2019,2,36,52,207,161,86,1,5.90%,12.60%,12.30%,50.00%,13.80%,2020
Cody Zeller,CHA,28,6/11,240,Indiana,USA,2013,1,4,48,451,328,86,2,11.50%,21.00%,17.70%,59.90%,12.50%,2020
Cole Anthony,ORL,21,6/2,185,North Carolina,USA,2020,1,15,47,605,221,192,-12.8,2.70%,14.20%,23.50%,49.60%,24.10%,2020
Collin Sexton,CLE,22,6/1,190,Alabama,USA,2018,1,8,60,"1,460.00",187,262,-9.2,2.70%,6.30%,28.60%,57.30%,22.20%,2020
Cory Joseph,DET,29,6/3,200,University of Texas at Austin,Canada,2011,1,29,63,517,159,213,-5.5,2.40%,8.50%,15.90%,55.60%,20.40%,2020
Cristiano Felicio,CHI,28,6/11,270,None,Brazil,Undrafted,Undrafted,Undrafted,18,23,26,9,7.1,11.20%,20.50%,11.70%,57.40%,15.50%,2020
D'Angelo Russell,MIN,25,6/4,193,Ohio State,USA,2015,1,2,42,796,111,244,-7,1.20%,7.70%,28.30%,55.50%,32.30%,2020
D.J. Augustin,HOU,33,5/11,183,Texas-Austin,USA,2008,1,9,57,438,94,188,-1.8,1.70%,6.30%,16.40%,57.00%,22.30%,2020
D.J. Wilson,HOU,25,6/10,231,Michigan,USA,2017,1,17,35,183,112,23,-11.3,4.20%,19.90%,19.50%,51.10%,8.80%,2020
DaQuan Jeffries,SAS,23,6/5,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,31,127,71,22,-4.5,3.60%,10.30%,11.40%,51.40%,5.90%,2020
Dakota Mathias,PHI,25,6/4,200,Purder,USA,2018,,,8,48,7,13,-10.6,0.70%,4.10%,16.60%,47.40%,15.70%,2020
Damian Jones,SAC,26,6/11,245,Vanderbilt,USA,2016,1,30,39,183,121,29,-5.1,6.40%,15.60%,12.00%,71.20%,7.50%,2020
Damian Lillard,POR,30,6/2,195,Weber State,USA,2012,1,6,67,"1,928.00",283,505,4,1.20%,10.40%,30.60%,62.30%,33.40%,2020
Damion Lee,GSW,28,6/5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,57,373,180,73,1.6,2.00%,14.20%,12.70%,63.60%,9.40%,2020
Damyean Dotson,CLE,27,6/5,210,Houston,USA,2017,2,44,46,308,93,91,-12.5,0.50%,9.50%,16.20%,49.90%,16.10%,2020
Daniel Gafford,WAS,22,6/10,234,Arkansas,USA,2019,2,38,54,380,231,29,4.1,11.80%,16.00%,16.10%,69.70%,5.10%,2020
Daniel Oturu,LAC,21,6/8,240,Minnesota,USA,2020,2,33,30,54,48,10,1.8,11.90%,15.70%,17.40%,47.10%,9.20%,2020
Daniel Theis,CHI,29,6/8,245,None,Germany,Undrafted,Undrafted,Undrafted,65,627,356,108,-1.3,5.70%,16.40%,15.40%,60.90%,9.70%,2020
Danilo Gallinari,ATL,32,6/10,233,None,Italy,2008,1,6,51,676,211,76,2.7,1.50%,15.50%,21.10%,61.30%,9.90%,2020
Danny Green,PHI,34,6/6,215,North Carolina,USA,2009,2,46,69,654,260,118,7.1,2.90%,10.00%,13.80%,58.20%,8.00%,2020
Dante Exum,HOU,25,6/5,214,None,Australia,2014,1,5,6,23,17,13,3.6,1.50%,12.90%,11.90%,42.80%,15.50%,2020
Danuel House Jr.,HOU,28,6/6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,36,315,132,69,-11.2,1.80%,12.10%,15.30%,52.50%,11.00%,2020
Dario Saric,PHX,27,6/10,225,None,Croatia,2014,1,12,50,437,190,65,11.5,5.50%,16.80%,21.80%,56.70%,10.40%,2020
Darius Bazley,OKC,21,6/8,208,None,USA,2019,1,23,55,754,396,99,-13.1,2.70%,19.30%,21.80%,49.10%,9.10%,2020
Darius Garland,CLE,21,6/1,192,Vanderbilt,USA,2019,1,5,54,941,129,329,-6.6,1.30%,6.20%,24.50%,54.70%,29.80%,2020
Darius Miller,OKC,31,6/6,225,Kentucky,USA,2012,2,46,18,73,24,21,7.2,1.10%,10.30%,12.70%,68.50%,15.10%,2020
David Nwaba,HOU,28,6/5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted,30,276,118,31,-1.3,5.50%,10.80%,16.30%,55.70%,7.00%,2020
Davis Bertans,WAS,28,6/10,225,None,Latvia,2011,2,42,57,655,168,49,2.1,1.10%,9.50%,14.80%,62.00%,4.30%,2020
De'Aaron Fox,SAC,23,6/3,185,Kentucky,USA,2017,1,5,58,"1,461.00",203,417,-4.5,1.60%,8.50%,30.40%,56.50%,32.60%,2020
De'Andre Hunter,ATL,23,6/8,225,Virginia,USA,2019,1,4,23,344,110,44,5.5,2.40%,12.50%,19.40%,60.30%,9.80%,2020
De'Anthony Melton,MEM,23,6/2,200,Southern California,USA,2018,2,46,52,472,161,132,6,2.60%,11.80%,18.90%,56.80%,17.20%,2020
DeAndre Jordan,BKN,32,6/11,265,Texas A&M,USA,2008,2,35,57,426,427,93,-1.9,9.70%,23.10%,12.80%,73.60%,9.90%,2020
DeAndre' Bembry,TOR,26,6/5,210,St. Joseph's (PA),USA,2016,1,21,51,293,146,107,0.4,3.30%,11.20%,14.20%,57.00%,15.70%,2020
DeMar DeRozan,SAS,31,6/6,220,Southern California,USA,2009,1,9,61,"1,316.00",259,422,-2.5,1.90%,10.60%,25.50%,59.10%,30.90%,2020
DeMarcus Cousins,LAC,30,6/10,270,Kentucky,USA,2010,1,5,41,366,263,76,-3.2,7.00%,29.30%,23.90%,53.70%,17.40%,2020
Dean Wade,CLE,24,6/9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,63,376,215,74,-9,3.10%,15.40%,12.80%,57.30%,9.40%,2020
Deandre Ayton,PHX,22,6/11,250,Arizona,Bahamas,2018,1,1,69,997,727,99,6.3,11.70%,23.60%,17.90%,65.30%,6.60%,2020
Deividas Sirvydis,DET,21,6/8,190,None,Lithuania,2019,2,37,20,41,29,5,-9.7,0.00%,22.50%,15.00%,48.10%,6.20%,2020
Dejounte Murray,SAS,24,6/4,180,Washington,USA,2016,1,29,67,"1,051.00",473,363,2.3,2.60%,19.00%,23.10%,50.90%,24.60%,2020
Delon Wright,SAC,29,6/5,185,Utah,USA,2015,1,20,63,645,269,278,-3.5,3.60%,12.20%,16.30%,56.20%,23.70%,2020
Deni Avdija,WAS,20,6/9,210,None,Israel,2020,1,9,54,342,262,63,-2.1,1.70%,18.10%,11.80%,51.50%,6.40%,2020
Dennis Schroder,LAL,27,6/3,172,None,Germany,2013,1,17,61,941,211,351,2.2,1.60%,9.30%,22.70%,54.30%,26.20%,2020
Dennis Smith Jr.,DET,23,6/2,205,North Carolina State,USA,2017,1,9,23,154,55,77,-2.2,2.90%,9.90%,19.10%,49.20%,27.60%,2020
Denzel Valentine,CHI,27,6/4,220,Michigan State,USA,2016,1,14,62,406,197,105,1,2.20%,16.80%,19.00%,47.90%,14.40%,2020
Derrick Favors,UTA,29,6/9,265,Georgia Tech,USA,2010,1,3,68,369,376,44,2.6,13.00%,22.70%,12.50%,66.30%,5.90%,2020
Derrick Jones Jr.,POR,24,6/5,210,UNLV,USA,Undrafted,Undrafted,Undrafted,58,396,205,47,-0.8,5.50%,9.40%,12.20%,57.60%,4.90%,2020
Derrick Rose,NYK,32,6/2,200,Memphis,USA,2008,1,1,50,734,130,209,4.9,1.50%,8.10%,25.20%,55.00%,27.60%,2020
Derrick White,SAS,26,6/4,190,Colorado,USA,2017,1,29,36,553,107,127,5.1,1.20%,8.60%,22.30%,55.00%,16.80%,2020
Desmond Bane,MEM,23,6/5,215,TCU,USA,2020,1,30,68,625,210,118,0.4,1.90%,11.60%,15.50%,60.00%,10.50%,2020
Devin Booker,PHX,24,6/5,206,Kentucky,USA,2015,1,13,67,"1,712.00",281,289,7.2,1.60%,10.80%,31.90%,58.70%,20.00%,2020
Devin Cannady,ORL,25,6/2,183,Princeton,USA,2019,,,8,34,5,1,-13.7,0.00%,6.50%,18.10%,54.70%,2.30%,2020
Devin Vassell,SAS,20,6/5,200,Florida State,USA,2020,1,11,62,341,174,56,-2.4,2.10%,13.80%,13.80%,52.40%,7.10%,2020
Devon Dotson,CHI,21,6/2,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,23,5,7,21.7,3.90%,6.10%,16.00%,54.80%,20.00%,2020
Devontae Cacok,LAL,24,6/7,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,20,39,32,1,18.1,11.70%,18.30%,15.40%,57.60%,1.30%,2020
Devonte' Graham,CHA,26,6/1,195,Kansas,USA,2018,2,34,55,816,148,295,2.1,1.30%,7.50%,21.10%,55.20%,27.20%,2020
Dewayne Dedmon,MIA,31,7/1,245,Southern California,USA,Undrafted,Undrafted,Undrafted,16,113,86,12,17.1,13.70%,28.20%,18.30%,73.50%,8.30%,2020
Didi Louzada,NOP,21,6/5,188,None,Brazil,2019,2,35,3,8,3,3,-7.3,1.50%,3.20%,11.40%,30.80%,7.30%,2020
Dillon Brooks,MEM,25,6/7,225,Oregon,Canada,2017,2,45,67,"1,151.00",196,157,4.5,2.60%,6.90%,25.60%,51.50%,11.20%,2020
Domantas Sabonis,IND,25,6/11,240,Gonzaga,Lithuania,2016,1,11,62,"1,260.00",742,415,-1.9,6.60%,25.90%,23.90%,60.10%,28.30%,2020
Donovan Mitchell,UTA,24,6/1,215,Louisville,USA,2017,1,13,53,"1,401.00",235,277,7.9,2.80%,9.50%,32.70%,56.90%,26.60%,2020
Donta Hall,ORL,23,6/10,230,Alabama,USA,Undrafted,Undrafted,Undrafted,13,73,62,11,-6.5,12.60%,19.30%,13.50%,73.10%,10.20%,2020
Donte DiVincenzo,MIL,24,6/4,203,Villanova,USA,2018,1,17,66,688,380,203,8.1,4.30%,15.50%,16.30%,54.20%,13.70%,2020
Dorian Finney-Smith,DAL,28,6/7,220,Florida,USA,Undrafted,Undrafted,Undrafted,60,590,326,102,5.1,5.20%,11.60%,12.00%,60.90%,7.00%,2020
Doug McDermott,IND,29,6/7,225,Creighton,USA,2014,1,11,66,899,221,85,-1.8,3.60%,9.60%,19.40%,63.50%,7.50%,2020
Draymond Green,GSW,31,6/6,230,Michigan State,USA,2012,2,35,63,444,448,558,5.4,2.80%,18.40%,12.80%,53.00%,34.50%,2020
Drew Eubanks,SAS,24,6/9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,54,311,241,42,-4.6,9.00%,20.70%,16.60%,61.80%,8.60%,2020
Duncan Robinson,MIA,27,6/7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,72,942,250,127,2.3,0.30%,10.90%,16.20%,62.80%,8.20%,2020
Dwayne Bacon,ORL,25,6/6,221,Florida State,USA,2017,2,40,72,788,224,93,-11.4,1.50%,10.20%,19.30%,49.00%,8.00%,2020
Dwight Howard,PHI,35,6/10,265,None,USA,2004,1,1,69,482,580,61,-2.4,14.80%,30.90%,17.30%,61.00%,7.60%,2020
Dwight Powell,DAL,29,6/10,240,Stanford,Canada,2014,2,45,58,342,234,63,4,8.60%,15.80%,12.90%,68.80%,9.00%,2020
Dylan Windler,CLE,24,6/6,196,Belmont,USA,2019,1,26,31,161,107,33,-6.5,3.90%,17.10%,14.00%,56.70%,8.90%,2020
E'Twaun Moore,PHX,32,6/3,191,Purdue,USA,2011,2,55,27,133,45,40,0.5,3.50%,8.00%,16.40%,52.30%,14.00%,2020
Ed Davis,MIN,32,6/9,218,North Carolina,USA,2010,1,13,23,48,115,21,-7.6,12.70%,23.50%,7.80%,48.70%,10.00%,2020
Edmond Sumner,IND,25,6/4,196,Xavier,USA,2017,2,52,53,399,94,49,-0.4,2.00%,8.30%,17.60%,62.60%,7.50%,2020
Elfrid Payton,NYK,27,6/3,195,Louisana-Lafayette,USA,2014,1,10,63,639,216,203,-3,4.10%,9.80%,22.40%,47.80%,20.90%,2020
Elijah Bryant,MIL,26,6/5,210,Brigham Young,USA,Undrafted,Undrafted,Undrafted,1,16,6,3,14,6.50%,13.30%,23.10%,55.90%,13.00%,2020
Elijah Hughes,UTA,23,6/5,215,Syracuse,USA,2020,2,39,18,31,9,6,-28.8,1.40%,11.90%,24.20%,48.80%,15.80%,2020
Enes Kanter,POR,29,6/10,250,None,Turkey,2011,1,3,72,806,795,84,4.9,14.80%,28.10%,16.90%,63.60%,6.90%,2020
Eric Bledsoe,NOP,31,6/1,214,Kentucky,USA,2010,1,18,71,869,244,268,-1.8,1.30%,10.00%,18.10%,53.30%,17.00%,2020
Eric Gordon,HOU,32,6/3,215,Indiana,USA,2008,1,7,27,481,58,71,-3.3,0.90%,6.20%,24.60%,57.70%,14.70%,2020
Eric Paschall,GSW,24,6/6,255,Villanova,USA,2019,2,41,40,381,128,51,-6.8,3.80%,13.80%,23.40%,56.10%,12.50%,2020
Ersan Ilyasova,UTA,34,6/9,235,None,Turkey,2005,2,36,17,65,29,4,6.7,4.70%,14.30%,19.00%,57.80%,4.00%,2020
Evan Fournier,BOS,28,6/7,205,None,France,2012,1,20,42,719,128,144,-1.4,0.70%,9.40%,22.20%,59.80%,17.00%,2020
Facundo Campazzo,DEN,30,5/10,195,None,Argentina,Undrafted,Undrafted,Undrafted,65,396,134,232,2.8,1.50%,8.10%,12.80%,55.80%,21.50%,2020
Frank Jackson,DET,23,6/3,205,Duke,USA,2017,2,31,40,390,86,36,-1,2.10%,9.20%,20.70%,59.80%,7.90%,2020
Frank Kaminsky,PHX,28,7/1,240,Wisconsin,USA,2015,1,9,47,310,188,79,4.6,5.10%,20.80%,18.50%,54.70%,15.40%,2020
Frank Mason,ORL,27,5/11,190,Kansas,USA,2017,2,34,4,25,12,12,-11.1,3.30%,10.30%,17.00%,46.20%,21.80%,2020
Frank Ntilikina,NYK,22,6/4,200,None,France,2017,1,8,33,89,31,19,-3.6,1.90%,7.70%,13.40%,51.20%,9.50%,2020
Fred VanVleet,TOR,27,6/1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,52,"1,019.00",220,328,3.3,1.60%,10.10%,23.70%,53.40%,26.40%,2020
Freddie Gillespie,TOR,24,6/9,245,Baylor,USA,Undrafted,Undrafted,Undrafted,20,111,97,9,-9.6,10.00%,14.20%,12.00%,56.30%,3.40%,2020
Furkan Korkmaz,PHI,23,6/7,202,None,Turkey,2016,1,26,55,501,113,82,6,1.50%,9.00%,19.50%,54.40%,11.10%,2020
Gabe Vincent,MIA,25,6/3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,50,242,56,67,-5.9,1.60%,6.80%,18.40%,49.80%,16.10%,2020
Gabriel Deck,OKC,26,6/6,231,None,Argentina,Undrafted,Undrafted,Undrafted,10,84,40,24,-12.7,6.70%,11.80%,15.90%,54.80%,16.00%,2020
Garrett Temple,CHI,35,6/5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,56,423,160,124,1.5,1.90%,8.20%,12.60%,52.50%,10.40%,2020
Garrison Mathews,WAS,24,6/5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,64,354,87,26,-5.6,1.50%,6.50%,11.10%,63.50%,3.20%,2020
Gary Clark,PHI,26,6/6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,39,119,115,31,-7.7,4.40%,12.50%,9.70%,43.60%,6.40%,2020
Gary Harris,ORL,26,6/4,210,Michigan State,USA,2014,1,19,39,388,79,78,-4.2,1.90%,5.40%,16.40%,51.10%,10.20%,2020
Gary Payton II,GSW,28,6/3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,10,25,11,1,2.2,5.10%,17.60%,15.30%,84.70%,3.70%,2020
Gary Trent Jr.,TOR,22,6/5,209,Duke,USA,2018,2,37,58,888,152,80,-1.8,1.40%,6.90%,20.40%,53.40%,6.70%,2020
George Hill,PHI,35,6/4,188,Indiana-Purdue Indianapolis,USA,2008,1,26,30,261,61,73,-0.4,2.30%,6.30%,16.10%,59.60%,15.60%,2020
Georges Niang,UTA,28,6/7,230,Iowa State,USA,2016,2,50,72,500,176,59,14.6,2.40%,11.70%,16.90%,60.20%,7.10%,2020
Giannis Antetokounmpo,MIL,26,6/11,242,None,Greece,2013,1,15,61,"1,717.00",671,357,9.8,4.80%,26.40%,32.00%,63.30%,28.20%,2020
Glenn Robinson III,SAC,27,6/6,222,Michigan,USA,2014,2,40,23,121,45,20,-17.3,2.80%,9.40%,13.50%,55.40%,7.50%,2020
Goga Bitadze,IND,21,6/11,250,None,Georgia,2019,1,18,45,231,150,37,-0.8,9.50%,14.80%,16.90%,52.30%,8.70%,2020
Goran Dragic,MIA,35,6/3,190,None,Slovenia,2008,2,45,50,672,169,219,1.5,1.90%,10.70%,23.90%,55.20%,26.00%,2020
Gordon Hayward,CHA,31,6/7,225,Butler,USA,2010,1,9,44,863,258,181,0.7,2.40%,14.30%,23.50%,58.40%,18.90%,2020
Gorgui Dieng,SAS,31,6/10,252,Louisville,Senegal,2013,1,21,38,258,140,48,-6.7,6.80%,18.10%,16.90%,67.00%,13.00%,2020
Grant Riller,CHA,24,6/2,190,College of Charleston,USA,2020,2,56,7,18,1,3,-5.4,0.00%,4.00%,22.00%,75.00%,30.00%,2020
Grant Williams,BOS,22,6/6,236,Tennessee,USA,2019,1,22,63,294,178,64,-1.9,4.00%,11.30%,12.00%,54.60%,7.90%,2020
Grayson Allen,MEM,25,6/4,198,Duke,USA,2018,1,21,50,532,160,108,0.5,1.40%,10.60%,16.40%,58.60%,11.60%,2020
Greg Whittington,DEN,28,6/8,210,Georgetown,USA,Undrafted,Undrafted,Undrafted,4,0,0,0,33.3,0.00%,0.00%,10.30%,0.00%,0.00%,2020
Hamidou Diallo,DET,22,6/5,202,Kentucky,USA,2018,2,45,52,604,272,101,-8.6,4.60%,16.10%,21.80%,54.10%,13.30%,2020
Harrison Barnes,SAC,29,6/8,225,North Carolina,USA,2012,1,7,58,933,385,201,-1.8,3.10%,15.20%,16.90%,62.60%,12.80%,2020
Harry Giles III,POR,23,6/11,240,Duke,USA,2017,1,20,38,108,133,29,-10.4,7.90%,25.40%,15.40%,49.60%,12.50%,2020
Hassan Whiteside,SAC,32,7/1,265,Marshall,USA,2010,2,33,36,293,215,20,-8.1,10.90%,26.90%,22.70%,56.60%,5.80%,2020
Henry Ellenson,TOR,24,6/10,240,Marquette,USA,2016,1,18,2,15,12,5,10.6,6.10%,20.50%,16.70%,47.60%,20.80%,2020
Ignas Brazdeikis,ORL,22,6/6,221,Michigan,Canada,2019,2,47,13,91,45,17,-4.3,4.10%,12.90%,17.10%,51.00%,10.00%,2020
Iman Shumpert,BKN,31,6/5,212,Georgia Tech,USA,2011,1,17,2,2,1,0,-4.3,7.70%,0.00%,18.50%,25.00%,0.00%,2020
Immanuel Quickley,NYK,22,6/3,190,Kentucky,USA,2020,1,25,64,731,137,127,7.1,2.00%,8.60%,24.60%,55.70%,16.40%,2020
Isaac Bonga,WAS,21,6/8,180,None,Germany,2018,2,39,40,78,66,23,-3.3,4.20%,10.00%,10.10%,46.10%,7.20%,2020
Isaac Okoro,CLE,20,6/5,225,Auburn,USA,2020,1,5,67,646,206,128,-8.7,3.10%,6.60%,14.20%,51.40%,8.60%,2020
Isaiah Hartenstein,CLE,23,7/1,250,None,Germany,2017,2,43,46,236,181,55,2.1,11.40%,20.70%,18.70%,58.30%,14.70%,2020
Isaiah Joe,PHI,21,6/4,165,Arkansas,USA,2020,2,49,41,153,36,20,1.8,1.40%,8.30%,16.30%,53.30%,7.20%,2020
Isaiah Roby,OKC,23,6/8,230,Nebraska-Lincoln,USA,2019,2,45,61,533,341,107,-14.1,5.70%,16.90%,17.10%,55.50%,11.80%,2020
Isaiah Stewart,DET,20,6/8,250,Washington,USA,2020,1,16,68,537,453,59,-2,10.50%,19.30%,15.00%,59.70%,6.40%,2020
Isaiah Thomas,NOP,32,5/9,185,Washington,USA,2011,2,60,3,23,4,5,6.7,1.90%,5.20%,27.40%,41.20%,16.70%,2020
Ish Smith,WAS,32,6/1,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,44,295,150,172,2.3,2.20%,13.10%,15.50%,47.30%,24.20%,2020
Ivica Zubac,LAC,24,7/1,240,None,Croatia,2016,2,32,72,650,519,90,5,12.10%,20.00%,14.70%,69.30%,7.90%,2020
JJ Redick,DAL,37,6/3,200,Duke,USA,2006,1,11,44,327,64,51,-1.3,0.60%,8.20%,18.40%,56.40%,9.80%,2020
Ja Morant,MEM,21,6/3,174,Murray State,USA,2019,1,2,63,"1,204.00",252,465,2.6,2.70%,9.10%,26.70%,53.70%,32.10%,2020
JaKarr Sampson,IND,28,6/7,214,St. John's,USA,Undrafted,Undrafted,Undrafted,29,134,77,4,1.1,8.00%,14.50%,17.70%,53.30%,1.70%,2020
JaMychal Green,DEN,31,6/8,227,Alabama,USA,Undrafted,Undrafted,Undrafted,58,471,277,53,4.1,7.20%,17.70%,17.20%,59.00%,7.00%,2020
JaVale McGee,DEN,33,7/1,270,Nevada-Reno,USA,2008,1,18,46,337,239,39,-6.1,10.50%,23.10%,22.80%,54.10%,9.80%,2020
Jabari Parker,BOS,26,6/8,245,Duke,USA,2014,1,2,13,72,42,11,-5.5,5.60%,18.00%,17.50%,59.30%,10.50%,2020
Jaden McDaniels,MIN,20,6/9,185,Washington,USA,2020,1,28,63,427,232,71,-3.4,3.20%,11.80%,11.80%,55.20%,6.40%,2020
Jae Crowder,PHX,30,6/6,235,Marquette,USA,2012,2,34,60,603,282,127,6.3,2.00%,14.60%,15.20%,57.40%,10.20%,2020
Jae'Sean Tate,HOU,25,6/4,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,70,794,374,178,-3.8,6.00%,11.80%,16.10%,57.60%,12.70%,2020
Jahlil Okafor,DET,25,6/10,270,Duke,USA,2015,1,3,27,145,66,13,-10.2,7.00%,11.90%,17.00%,64.40%,6.60%,2020
Jahmi'us Ramsey,SAC,20,6/3,190,Texas Tech,USA,2020,2,43,13,40,10,6,2.4,1.90%,8.00%,18.30%,49.80%,8.80%,2020
Jake Layman,MIN,27,6/8,209,Maryland,USA,2016,2,47,45,231,67,28,-5.8,1.90%,8.30%,14.70%,57.70%,6.70%,2020
Jakob Poeltl,SAS,25,7/1,245,Utah,Austria,2016,1,9,69,593,547,134,3.2,11.40%,17.30%,13.00%,61.20%,9.60%,2020
Jalen Brunson,DAL,24,6/1,190,Villanova,USA,2018,2,33,68,857,231,239,4.9,1.60%,11.70%,19.60%,61.80%,21.50%,2020
Jalen Harris,TOR,22,6/5,195,Nevada,USA,2020,2,59,13,96,18,17,0.3,1.70%,9.10%,21.90%,63.20%,15.30%,2020
Jalen Lecque,IND,21,6/4,185,None,USA,Undrafted,Undrafted,Undrafted,4,5,5,2,-14.8,8.30%,20.00%,26.30%,24.20%,33.30%,2020
Jalen McDaniels,CHA,23,6/9,205,San Diego State,USA,2019,2,52,47,346,169,53,-9.4,4.70%,13.80%,16.90%,55.40%,9.00%,2020
Jalen Smith,PHX,21,6/10,215,Maryland,USA,2020,1,10,27,53,37,4,-4.4,4.40%,17.40%,16.10%,49.90%,3.70%,2020
Jamal Murray,DEN,24,6/3,215,Kentucky,Canada,2016,1,7,48,"1,018.00",194,231,8,2.30%,9.50%,24.40%,59.20%,19.70%,2020
James Ennis III,ORL,30,6/6,215,California State-Long Beach,USA,2013,2,50,41,345,166,62,-3.8,4.20%,12.30%,13.70%,61.30%,8.70%,2020
James Harden,BKN,31,6/5,220,Arizona State,USA,2009,1,3,44,"1,083.00",348,475,2.9,2.30%,19.10%,28.30%,61.80%,44.20%,2020
James Johnson,NOP,34,6/7,240,Wake Forest,USA,2009,1,16,51,368,177,98,-5,2.90%,13.10%,16.60%,51.00%,13.40%,2020
James Nunnally,NOP,30,6/7,205,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,9,15,9,3,-4.8,3.30%,14.90%,12.90%,54.00%,9.40%,2020
James Wiseman,GSW,20,7/1,240,Memphis,USA,2020,1,2,39,448,226,26,-8.8,6.30%,19.00%,23.10%,55.20%,5.00%,2020
Jared Dudley,LAL,35,6/6,237,Boston College,USA,2007,1,22,12,6,21,5,-1.7,4.70%,21.30%,5.60%,33.30%,8.10%,2020
Jared Harper,NYK,23,5/10,175,Auburn,USA,Undrafted,Undrafted,Undrafted,8,3,2,1,-16.4,0.00%,9.10%,20.00%,26.00%,12.50%,2020
Jaren Jackson Jr.,MEM,21,6/11,242,Michigan State,USA,2018,1,4,11,158,62,12,-10.5,6.00%,16.40%,25.20%,55.10%,7.40%,2020
Jarred Vanderbilt,MIN,22,6/9,214,Kentucky,USA,2018,2,41,64,344,368,76,-1.1,9.60%,21.10%,11.80%,61.20%,9.10%,2020
Jarrell Brantley,UTA,25,6/5,250,College of Charleston,USA,2019,2,50,28,64,27,15,-9.1,5.90%,12.50%,18.20%,60.50%,17.00%,2020
Jarrett Allen,CLE,23,6/11,243,Texas-Austin,USA,2017,1,22,63,806,631,106,-5.6,10.60%,23.20%,16.30%,66.10%,8.70%,2020
Jarrett Culver,MIN,22,6/6,195,Texas Tech,USA,2019,1,6,34,180,104,24,-10.7,5.90%,13.20%,17.90%,47.60%,7.90%,2020
Javonte Green,CHI,27,6/4,205,Radford,USA,Undrafted,Undrafted,Undrafted,41,146,71,17,1.8,5.60%,10.00%,12.20%,61.00%,4.80%,2020
Jaxson Hayes,NOP,21,6/11,220,Texas-Austin,USA,2019,1,8,60,449,257,35,-0.9,8.70%,16.10%,15.60%,67.50%,5.70%,2020
Jay Scrubb,LAC,20,6/5,220,,USA,2020,2,55,4,35,14,1,-2.8,2.20%,14.00%,21.70%,45.80%,1.50%,2020
Jaylen Adams,MIL,25,6/1,225,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted,7,2,3,2,-31,0.00%,14.30%,17.80%,12.50%,20.00%,2020
Jaylen Brown,BOS,24,6/6,223,California,USA,2016,1,3,58,"1,430.00",347,195,1.8,3.50%,13.60%,29.00%,58.60%,16.20%,2020
Jaylen Hoard,OKC,22,6/8,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,19,116,65,24,-9.1,6.10%,12.80%,15.60%,54.70%,11.00%,2020
Jaylen Nowell,MIN,21,6/4,201,Washington,USA,2019,2,43,42,379,95,62,-6.6,2.20%,9.80%,20.60%,52.80%,13.00%,2020
Jayson Tatum,BOS,23,6/8,210,Duke,USA,2017,1,3,64,"1,692.00",472,276,3,2.10%,18.80%,29.80%,57.60%,19.60%,2020
Jeff Green,BKN,34,6/8,235,Georgetown,USA,2007,1,5,68,750,263,108,3.3,1.90%,11.60%,15.40%,62.40%,8.00%,2020
Jeff Teague,MIL,33,6/3,195,Wake Forest,USA,2009,1,19,55,371,88,132,2.8,1.60%,7.40%,17.40%,56.20%,18.20%,2020
